Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO COMUNITARIO DE CONVIVENCIA INFANTIL AME;35079868;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA OSCAR STRAUS, 344 RUA. BOSQUE DOS EUCALIPTOS. 12233-790 São José dos Campos - SP.";(12) 39361625;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2622484;-45.888365
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GRILO FALANTE ESCOLA DE EDUC INFANTIL;35081711;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SANTA ELZA, 218 RUA. VILA ICARAI. 12243-690 São José dos Campos - SP.";(12) 39114367;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.202446;-45.8943464
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CASSIANO RICARDO EMEI;35082995;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRUDENTE MEIRELES DE MORAIS ENGENHEIRO, 1000 RUA. VILA ADYANA. 12243-750 São José dos Campos - SP.";(12) 39211117;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2011266;-45.8912274
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE RUBENS FRANCO BONAFE PADRE EMEI;35083012;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SALETE NOSSA SENHORA, 34 RUA. JARDIM SANTA MATILDE. 12213-580 São José dos Campos - SP.";(12) 39219987;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1405207;-45.9028743
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LIRIOS DO CAMPO I TORRAO CECOI;35083707;SP;São José dos Campos;Rural;A escola não está em área de localização diferenciada;Privada;"ESTRADA JOSE AUGUSTO TEIXEIRA, 148 RUA. TORRAO DE OURO. 12229-840 São José dos Campos - SP.";(12) 39442004;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2677893;-45.8737833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DENTE DE LEITE ESCOLA DE EDUCACAO INFANTIL;35084074;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CARLOS CHAGAS, 138 RUA. JARDIM ESPLANADA. 12242-730 São José dos Campos - SP.";(12) 39239225;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1968394;-45.8994203
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MAE MARIQUINHA LAR ESCOLA CECOI;35084086;SP;São José dos Campos;Rural;A escola não está em área de localização diferenciada;Privada;"ESTRADA MUNICIPAL JOSE BENEDITO DE OLIVEIRA, 1915 FDS. FREITAS. 12214-420 São José dos Campos - SP.";(12) 39481846;Privada;Filantrópica;Sim;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1087778;-45.9335671
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ROSA TOMITA PROFA EMEF;35084621;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AYRTON SENNA DA SILVA, 90 RUA. JARDIM SAO JOSE II. 12248-678 São José dos Campos - SP.";(12) 39292995;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.1700706;-45.7786845
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA EZEQUIEL SANT ANNA PROFA EMEI;35085017;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CASTOR, 180 RUA. JARDIM SATELITE. 12230-320 São José dos Campos - SP.";(12) 39374618;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2220534;-45.8943316
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI;35085170;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"TURIACU, 795 PARQUE INDUSTRIAL. 12235-650 São José dos Campos - SP.";(12) 39318518;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2368516;-45.9065715
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARILDA APARECIDA MONTEMOR PROFA EMEI;35086009;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VICTOR HUGO, SN PRACA. JARDIM ORIENTE. 12236-231 São José dos Campos - SP.";(12) 39341602;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2407992;-45.9010765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;TORATARO TAKITANI EMEI;35086010;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BAHIA DE SAO SALVADOR, 142 PRACA. JARDIM VALE DO SOL. 12238-090 São José dos Campos - SP.";(12) 39313382;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2535829;-45.9103502
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VERA LUCIA CARNEVALLI BARRETO PROFA EMEF;35086022;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"OLIVO GOMES, 520 AVENIDA. SANTANA. 12211-115 São José dos Campos - SP.";(12) 39422780;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1675221;-45.8913809
ESCOLA PARALISADA;MELVIN JONES EMEI;35087464;SP;São José dos Campos;Urbana;Não Informado;Pública;"PRACA MELVIN JONES, JARDIM SAO DIMAS. 12245-360 São José dos Campos - SP.";(12) 39215585;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;OLGA FRANCO CUSTODIO PROFA EMEI;35087476;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ROSAS, 232 AVENIDA. JARDIM MOTORAMA. 12224-000 São José dos Campos - SP.";(12) 39296823;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.1757982;-45.8256566
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIO CAMPANER PROF EMEI;35087497;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FLAMBOYANT, 131 PRACA. JARDIM DAS INDUSTRIAS. 12241-100 São José dos Campos - SP.";(12) 39315785;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2288924;-45.9234454
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IDELENA MENEZES TREFILIO DE CARVALHO PROFA EMEI;35089588;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"OLIVO GOMES, 590 AVENIDA. SANTANA. 12211-115 São José dos Campos - SP.";(12) 39215770;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.1670665;-45.8921969
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELZA FERREIRA RAHAL PROFA EMEI;35089597;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PARANA, 111 RUA. VILA MARIA. 12209-250 São José dos Campos - SP.";(12) 39422659;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.1772785;-45.8812429
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CLEANIR SANTOS MALDONADO CAMPOY PROFA EMEI;35089606;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"NORUEGA, 726 RUA. JARDIM AEROPORTO. 12231-140 São José dos Campos - SP.";(12) 39229394;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2141701;-45.8833636
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ARLINDO CAETANO FILHO PROF EMEI;35089618;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VALDEMIR DE OLIVEIRA, 42 RUA. CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO. 12237-200 São José dos Campos - SP.";(12) 39311684;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2485884;-45.9145761
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANA LUCIA DE CASTRO MICHELETO PROFA EMEI;35089624;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PATATIVA, 200 RUA. VILA TATETUBA. 12220-140 São José dos Campos - SP.";(12) 39296843;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1860896;-45.857038
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CREMILDA ALVES DE OLIVEIRA AZEVEDO PROFA EMEI;35089631;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"DURVALINA ISAURA CONCEICAO DOS SANTOS, 242 RUA. VILA NOVA CRISTINA. 12211-135 São José dos Campos - SP.";(12) 39423139;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1580404;-45.8905212
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALADIR MAIA RIBEIRO GOMES NEI;35090025;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PORTO NOVO, 45 RUA. JARDIM SATELITE. 12230-060 São José dos Campos - SP.";(12) 39316902;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2223147;-45.8835607
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FEBRONIO PEREIRA GOMES EMEI;35090049;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CARTEIROS, 50 RUA. PARQUE NOVO HORIZONTE. 12225-700 São José dos Campos - SP.";(12) 39071439;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;;-23.1936676;-45.7849071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELZA REGINA FERREIRA BEVILACQUA PROFA EMEF;35090050;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BRENO DE MOURA, SN RUA. JARDIM ESTORIL. 12232-040 São José dos Campos - SP.";(12) 39167020;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2502202;-45.8833907
ESCOLA PARALISADA;CONJINTEGNUCLEO EDUCINFANTIL;35090062;SP;São José dos Campos;Urbana;Não Informado;Pública;"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, VILA INDUSTRIAL. 12220-000 São José dos Campos - SP.";(12) 39293054;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM MORUMBI EMEI DO;35090074;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ELISIO GALDINO SOBRINHO, 40 AVENIDA. CIDADE MORUMBI. 12236-740 São José dos Campos - SP.";(12) 39310002;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2498978;-45.9036465
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SILVIA HELENA DE SOUSA PROFA NEI;35090098;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOAO JOSE DO NASCIMENTO, 77 RUA. SANTANA. 12211-330 São José dos Campos - SP.";(12) 39235204;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1616087;-45.891052
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIANITA DE OLIVEIRA PEREIRA SANTOS PROFA NEI;35090104;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VICOSA, 5 RUA. BOSQUE DOS EUCALIPTOS. 12233-290 São José dos Campos - SP.";(12) 39361002;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2397864;-45.8857883
ESCOLA PARALISADA;CASA DA AMIZADE NEDUCINFANTIL;35090116;SP;São José dos Campos;Urbana;Não Informado;Pública;"TRAVESSA SANTA INES, JARDIM SANTA MADALENA. 12243-290 São José dos Campos - SP.";(12) 39220758;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ILZA NASCIMENTO PINTUS PROFESSORA NEI;35090128;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MIRACEMA, SN RUA. CHACARAS REUNIDAS. 12238-360 São José dos Campos - SP.";(12) 39343836;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2551829;-45.923705
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JACYRA VIEIRA BARACHO PROFA EMEF;35090136;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FLORENCA, 100 RUA. JARDIM VENEZA. 12237-060 São José dos Campos - SP.";(12) 39330650;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2433087;-45.9108519
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DOROTI DA SILVA CUNHA EMEI;35090153;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ABELARDO ALVES DE PAIVA, 300 RUA. JARDIM SANTA INES I. 12248-490 São José dos Campos - SP.";(12) 39291928;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1734552;-45.7963464
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NORMA LUCIA RODRIGUES DE ALMEIDA PROFA EMEI;35090177;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FLOR DE LIS, 133 RUA. JARDIM DAS FLORES. 12247-650 São José dos Campos - SP.";(12) 39052099;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1468602;-45.7967979
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE ANTERO CURSINO DOS SANTOS PROF EMEI;35090189;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ITAPOA, 101 RUA. JARDIM SATELITE. 12230-810 São José dos Campos - SP.";(12) 39313718;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2308854;-45.8875487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ZILDA COSTA DE OLIVEIRA PROFA EMEI;35091510;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"HELIO DIAS, 137 PRACA. JARDIM DA GRANJA. 12227-230 São José dos Campos - SP.";(12) 39225411;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2040141;-45.8540913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EUGENIO DE MELO NEI;35091534;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ELOY PORTO, 120 RUA. EUGENIO DE MELLO. 12247-160 São José dos Campos - SP.";(12) 39052153;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1405575;-45.7842583
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ZELI DE TOLEDO DIAS PROFA EMEI;35091546;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CURRUIRAS, 160 AVENIDA. JARDIM UIRA. 12227-620 São José dos Campos - SP.";(12) 39214527;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2113605;-45.8531305
ESCOLA PARALISADA;FLAVIO BERLING MACEDO PROF EMEF;35091558;SP;São José dos Campos;Urbana;Não Informado;Pública;"R PARANA, 111 RUA. VL MARIA. 12209-250 São José dos Campos - SP.";(12) 39213163;Municipal;Não Informado;Não;;;;;-23.1772865;-45.8813284
ESCOLA PARALISADA;JARDIM SAO VICENTE NEI;35091561;SP;São José dos Campos;Urbana;Não Informado;Pública;"AVENIDA RUTH MERRIK KIMBASK, JARDIM SAO VICENTE. 12224-450 São José dos Campos - SP.";(12) 39125780;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VILA SAO GERALDO NEI DA;35091571;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MANOEL FERNANDES NETTO MAJOR, 320 RUA. VILA SAO GERALDO. 12213-270 São José dos Campos - SP.";(12) 39212537;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.148109;-45.9113562
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VILA SAO BENTO NEI;35092228;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"GURUPI, 40 RUA. VILA SAO BENTO. 12231-600 São José dos Campos - SP.";(12) 39434271;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2268169;-45.8736112
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALTO DA PONTE NEI;35092236;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ITARARE, 116 RUA. ALTO DA PONTE. 12212-430 São José dos Campos - SP.";(12) 39416097;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.151265;-45.90071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MOACYR BENEDICTO DE SOUZA PROF EMEF;35092241;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MARIA MARTINS OTTOBONI, 100 RUA. CAMPO DOS ALEMAES. 12239-420 São José dos Campos - SP.";(12) 39661829;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2725699;-45.895415
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IRACEMA OLIVEIRA DE MELLO EMEI;35092253;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ROBERTO APARECIDO CRUZ, 60 RUA. JARDIM SANTO ONOFRE. 12228-077 São José dos Campos - SP.";(12) 39442328;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2486895;-45.8327441
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUCIA PEREIRA RODRIGUES PROFA EMEF;35092265;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA IV CENTENARIO, 401 RUA. JARDIM SANTA FE. 12228-110 São José dos Campos - SP.";(12) 39441769;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2488106;-45.8332212
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA DA GLORIA MARIANO SANTOS PROFA EMEI;35092289;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CESAR TRABALLI, 80 PRACA. JARDIM TELESPARK. 12212-810 São José dos Campos - SP.";(12) 39226002;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;;-23.1600027;-45.908023
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SANDRA REGINA DE ALMEIDA PAULO PROFA EMEI;35094584;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE CARLOS PACE, 220 PRACA. JARDIM AMERICANO. 12225-050 São José dos Campos - SP.";(12) 39296773;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1803458;-45.8134849
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE PURCINI EMEI;35094596;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CIRURGIOES DENTISTAS, 480 RUA. JARDIM SANTA INES II. 12248-515 São José dos Campos - SP.";(12) 39125780;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1687906;-45.8055389
ESCOLA PARALISADA;JARDIM NOVA ESPERANCA NEI;35094602;SP;São José dos Campos;Urbana;Não Informado;Pública;"PRACA MELVIN JONES, JARDIM SAO DIMAS. 12245-360 São José dos Campos - SP.";(12) 39229613;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VILA PAIVA NEI;35095936;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ANTONIO PEDRO PEROTTI, 375 RUA. VILA PAIVA. 12213-400 São José dos Campos - SP.";(12) 39228122;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1390066;-45.9079559
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DOMINGOS DE MACEDO CUSTODIO PROF EMEI;35096600;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE DE MOURA RESENDE DOUTOR, 372 RUA. VILA TESOURO. 12221-470 São José dos Campos - SP.";(12) 39292325;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;;-23.169621;-45.8397885
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELZA MARIA DIAS MENDONCA PROFA EMEI;35096611;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FRANCISCO ESCOBAR, 103 PRACA. MONTE CASTELO. 12215-170 São José dos Campos - SP.";(12) 39235216;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1844063;-45.8748597
ESCOLA PARALISADA;VILA VENEZIANI NUCLEO DE EDUCACAO INFANTIL DA;35096623;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA AFRANIO DE PAIVA DELGADO, VILA VENEZIANI. 12212-350 São José dos Campos - SP.";(12) 39118691;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA ALICE PASQUARELLI PROFA EMEI;35096647;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA JOAQUIM FIGUEIRA DE ANDRADE, 60 PRACA. JARDIM COPACABANA. 12221-221 São José dos Campos - SP.";(12) 39291854;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.1738409;-45.8482079
ESCOLA PARALISADA;JARDIM LIMOEIRO NEI DO;35096659;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA SERGIO GONZAGA AZEVEDO, JARDIM LIMOEIRO. 12241-340 São José dos Campos - SP.";(12) 39330408;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SONIA MARA RAMOS PROFA NEI;35096660;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PARAIBA, 119 PRACA. VILA SAO PEDRO. 12216-390 São José dos Campos - SP.";(12) 39229689;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1916664;-45.8669706
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HELIO AUGUSTO DE SOUZA PROF EMEF;35096672;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DOS MUSICOS, SN PRACA. JARDIM VALPARAIBA. 12221-371 São José dos Campos - SP.";(12) 39295996;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1748804;-45.8420561
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOAO MARCONDES GUIMARAES PADRE EMEI;35096684;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"TATUI, 27 RUA. BOSQUE DOS EUCALIPTOS. 12233-420 São José dos Campos - SP.";(12) 39165257;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.258625;-45.8917378
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;OPCAO COLEGIO TECNICO;35104930;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"PRACA CANDIDA MARIA CESAR SAWAYA GIANA, 64 PRACA. JARDIM APOLO I. 12243-003 São José dos Campos - SP.";(12) 39227180;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";;-23.192284;-45.8932136
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO DE TECNOLOGIA EM SAUDE ITS;35104978;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"TIVOLI, 475 AVENIDA. VILA BETANIA. 12245-230 São José dos Campos - SP.";(12) 39477699;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Profissional;;-23.1982283333333;-45.8922983333333
