Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA DE MELO PROFA EMEF;35056844;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"INGA, 40 RUA. PARQUE INDUSTRIAL. 12235-741 São José dos Campos - SP.";(12) 39313593;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.239944;-45.9069857
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IRMA CLARA CECOI;35061359;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"TANCREDO NEVES PRESIDENTE, 1255 AVENIDA. JARDIM PARAISO DO SOL. 12225-211 São José dos Campos - SP.";(12) 39071089;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1828897;-45.8010202
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;AVANCE INSTITUTO;35061360;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CIDADE DE LA PAZ, 14 RUA. CIDADE VISTA VERDE. 12223-680 São José dos Campos - SP.";(12) 39026481;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.176169;-45.8248961
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PALHACINHO PIM POM ESCOLA DE EDUCACAO INFANTIL;35061372;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DURVALINA SIMOES, 249 RUA. JARDIM DAS INDUSTRIAS. 12240-480 São José dos Campos - SP.";(12) 39332163;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2311504;-45.9149085
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SANTA RITA CECOI;35061979;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SERRA DOURADA, 135 RUA. JARDIM ALTOS DE SANTANA. 12214-130 São José dos Campos - SP.";(12) 39116549;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1650697;-45.9100721
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANA ISABEL BARBOSA PROFA NEI;35062467;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO DE OLIVEIRA E SILVA, 115 RUA. BUQUIRINHA. 12213-790 São José dos Campos - SP.";(12) 39481313;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1125041;-45.9127032
ESCOLA PARALISADA;JARDIM ANHEMBI NEI;35062479;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA SERRA DO RONCADOR, JARDIM ANHEMBI. 12235-240 São José dos Campos - SP.";(12) 39318887;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA OFELIA VENEZIANI PEDROSA PROFA EMEF;35062480;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SERGIO GONZAGA AZEVEDO, 130 RUA. JARDIM LIMOEIRO. 12241-340 São José dos Campos - SP.";(12) 39330408;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2408484;-45.9337673
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PEDRO DE ALCANTARA DOM EMEF;35062492;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ADILSON JOSE DA CRUZ, 7581 AVENIDA. CONJUNTO RESIDENCIAL DOM PEDRO I. 12232-750 São José dos Campos - SP.";(12) 39661964;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.2803711;-45.8868179
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LIRIOS DO CAMPO V JARDIM SAO JUDAS CECOI;35064956;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CRISTOVAO SAO, 500 AVENIDA. JARDIM SAO JUDAS TADEU. 12228-260 São José dos Campos - SP.";(12) 39446571;Privada;Comunitária;Sim;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2572466;-45.8315035
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NOSSA SENHORA AUXILIADORA CECOI;35064968;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA RENATO ALVES DA CUNHA, 290 RUA. JARDIM POR DO SOL. 12241-290 São José dos Campos - SP.";(12) 39316686;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2415397;-45.932943
